,0,1,2,3,4,5,6,7,HH,freq,rk,ra,u1,u2,k5,k8
940,0.0,13.0,11.0,13.0,13.0,12.0,12.0,12.0,31357886450.0,5241.0,13166388.0,0.4668465399450509,3.4703908,-0.30384934,3,6
941,1.0,15.0,15.0,11.0,13.0,11.0,13.0,12.0,31466093407.0,5239.0,13171627.0,0.4670323015239116,2.4132767,4.990415,5,2
942,0.0,13.0,14.0,12.0,11.0,11.0,11.0,12.0,31238875206.0,5239.0,13176866.0,0.4672180631027722,4.4975243,0.81817794,3,6
943,2.0,6.0,10.0,12.0,13.0,12.0,12.0,12.0,31357875166.0,5234.0,13182100.0,0.4674036473943845,9.688966,5.647325,2,5
944,2.0,17.0,9.0,13.0,13.0,12.0,12.0,12.0,31357885572.0,5232.0,13187332.0,0.4675891607710974,-0.047764417,0.880749,1,4
945,0.0,15.0,11.0,12.0,12.0,12.0,12.0,13.0,33851999478.0,5228.0,13192560.0,0.4677745323180117,2.412418,0.5199499,1,4
946,1.0,11.0,16.0,12.0,11.0,11.0,12.0,13.0,33846613923.0,5225.0,13197785.0,0.4679597974925768,5.3273754,4.9698753,5,3
947,1.0,17.0,10.0,13.0,13.0,12.0,12.0,12.0,31357886055.0,5220.0,13203005.0,0.4681448853798936,0.3282288,1.1664324,1,4
948,1.0,16.0,12.0,11.0,12.0,11.0,13.0,12.0,31465857721.0,5215.0,13208220.0,0.46832979597996205,0.5747553,2.7012403,1,4
949,1.0,9.0,15.0,12.0,12.0,12.0,12.0,13.0,33852001283.0,5207.0,13213427.0,0.468514422920433,6.9119816,5.133321,2,3
950,1.0,7.0,11.0,11.0,12.0,12.0,12.0,12.0,31357630767.0,5205.0,13218632.0,0.4686989789460046,9.111492,5.1078877,2,5
951,3.0,4.0,11.0,12.0,11.0,12.0,12.0,12.0,31357407095.0,5205.0,13223837.0,0.4688835349715762,9.756938,6.385049,2,5
952,1.0,15.0,15.0,12.0,12.0,11.0,11.0,12.0,31239109991.0,5199.0,13229036.0,0.4690678782524498,2.4684277,4.2506933,5,2
953,1.0,8.0,15.0,12.0,12.0,12.0,12.0,12.0,31357643373.0,5198.0,13234234.0,0.4692521860758737,7.273598,5.3372564,2,3
954,1.0,15.0,10.0,13.0,11.0,12.0,12.0,12.0,31357417499.0,5187.0,13239421.0,0.4694361038673511,1.216461,0.5379171,1,4
955,2.0,17.0,10.0,13.0,13.0,12.0,12.0,12.0,31357886056.0,5185.0,13244606.0,0.4696199507439292,0.14253476,1.2184217,1,4
956,1.0,15.0,12.0,11.0,12.0,11.0,12.0,12.0,31352477795.0,5183.0,13249789.0,0.469803726705608,1.5643735,1.7379918,1,4
957,2.0,6.0,9.0,12.0,12.0,12.0,12.0,12.0,31357640426.0,5182.0,13254971.0,0.4699874672098371,9.695653,5.5594096,2,5
958,1.0,14.0,15.0,13.0,12.0,11.0,11.0,12.0,31239120617.0,5169.0,13260140.0,0.4701707467672202,3.1886544,4.0300255,5,2
959,0.0,9.0,11.0,12.0,12.0,11.0,11.0,12.0,31239107922.0,5164.0,13265304.0,0.4703538490373551,4.81096,-1.4326502,3,6
960,1.0,17.0,10.0,11.0,12.0,11.0,12.0,12.0,31352476871.0,5155.0,13270459.0,0.4705366321904429,0.45129442,1.1400551,1,4
961,2.0,6.0,13.0,14.0,12.0,12.0,12.0,12.0,31357663658.0,5150.0,13275609.0,0.4707192380562822,8.998921,6.3403897,2,5
